"id","site","building","room","function","placement","measurement_type","value","timestamp"
1,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33819.46","2024-01-30 14:44:51"
2,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33740.97","2024-01-30 14:44:52"
3,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33750.69","2024-01-30 14:44:54"
4,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33748.17","2024-01-30 14:44:56"
5,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33728.72","2024-01-30 14:44:58"
6,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33704.01","2024-01-30 14:44:59"
7,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33704.01","2024-01-30 14:45:00"
8,"ETEC","ETEC","114","WAGO_EDM","D1","kWh","463184","2024-01-30 14:45:00"
9,"ETEC","ETEC","114","WAGO_EDM","D1","AL1","54.6864","2024-01-30 14:45:00"
10,"ETEC","ETEC","114","WAGO_EDM","D1","AL3","48.9564","2024-01-30 14:45:00"
11,"ETEC","ETEC","114","WAGO_EDM","D1","AL2","47.5599","2024-01-30 14:45:00"
12,"ETEC","ETEC","114","WAGO_EDM","D1","VL1N","232.93","2024-01-30 14:45:00"
13,"ETEC","ETEC","114","WAGO_EDM","D1","VL3N","234.02","2024-01-30 14:45:00"
14,"ETEC","ETEC","114","WAGO_EDM","D1","VL2N","233.55","2024-01-30 14:45:00"
15,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33714.69","2024-01-30 14:45:01"
16,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33807.93","2024-01-30 14:45:02"
17,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33773.13","2024-01-30 14:45:03"
18,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","34734.61","2024-01-30 14:45:05"
19,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33786.1","2024-01-30 14:45:06"
20,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33759.21","2024-01-30 14:45:08"
21,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33752.96","2024-01-30 14:45:09"
22,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33752.96","2024-01-30 14:45:10"
23,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33817.42","2024-01-30 14:45:11"
24,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33782.26","2024-01-30 14:45:12"
25,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33716.01","2024-01-30 14:45:13"
26,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33681.08","2024-01-30 14:45:15"
27,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33717.57","2024-01-30 14:45:17"
28,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33680.72","2024-01-30 14:45:19"
29,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33680.72","2024-01-30 14:45:20"
30,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33669.68","2024-01-30 14:45:20"
31,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33744.92","2024-01-30 14:45:22"
32,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33731.49","2024-01-30 14:45:23"
33,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33699.56","2024-01-30 14:45:24"
34,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33659.59","2024-01-30 14:45:26"
35,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33689.24","2024-01-30 14:45:27"
36,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33643.27","2024-01-30 14:45:29"
37,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33643.27","2024-01-30 14:45:30"
38,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33684.68","2024-01-30 14:45:30"
39,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","34072.71","2024-01-30 14:45:32"
40,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","34034.78","2024-01-30 14:45:33"
41,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","34022.41","2024-01-30 14:45:34"
42,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33778.53","2024-01-30 14:45:36"
43,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33733.05","2024-01-30 14:45:38"
44,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33733.05","2024-01-30 14:45:40"
45,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33640.16","2024-01-30 14:45:40"
46,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33703.88","2024-01-30 14:45:41"
47,"ETEC","ETEC","114","WAGO_EDM","D1","W_TOT","33771.81","2024-01-30 14:45:43"
